FileName,DataSource,UniqueID,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,Unnamed: 29
B2036BEL_Splice17_3.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,belly ,45,0,45,0,3,,
B2036BRE_Splice17_1.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,breast ,45,0,45,0,1,,
B2036BRE_Splice17_2.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,breast ,45,0,45,0,2,,
B2036BRE_Splice17_3.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,breast ,45,0,45,0,3,,
B2036CRW_Splice17_1.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,crown ,45,0,45,0,1,,
B2036CRW_Splice17_2.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,crown ,45,0,45,0,2,,
B2036CRW_Splice17_3.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,crown ,45,0,45,0,3,,
B2036MNTL_Splice17_1.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,mantle ,45,0,45,0,1,,
B2036MNTL_Splice17_2.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,mantle ,45,0,45,0,2,,
B2036MNTL_Splice17_3.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,mantle ,45,0,45,0,3,,
B2037BEL_Splice17_1.txt,M,,Museums Victoria,,B2037,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,female,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,belly ,45,0,45,0,1,,
B2037BEL_Splice17_2.txt,M,,Museums Victoria,,B2037,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,female,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,belly ,45,0,45,0,2,,
