FileName,DataSource,UniqueID,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,
B10275BEL_Splice19_1,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,belly ,45,0,45,0,1,,
B10275BEL_Splice19_2,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,belly ,45,0,45,0,2,,
B10275BEL_Splice19_3,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,belly ,45,0,45,0,3,,
B10275BRE_Splice19_1,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,breast ,45,0,45,0,1,,
B10275BRE_Splice19_2,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,breast ,45,0,45,0,2,,
B10275BRE_Splice19_3,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,breast ,45,0,45,0,3,,
B10275CRW_Splice19_1,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,crown ,45,0,45,0,1,,
B10275CRW_Splice19_2,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,crown ,45,0,45,0,2,,
B10275CRW_Splice19_3,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,crown ,45,0,45,0,3,,
B10275MNTL_Splice19_1,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,mantle ,45,0,45,0,1,,
B10275MNTL_Splice19_2,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,mantle ,45,0,45,0,2,,
B10275MNTL_Splice19_3,M,,Museums Victoria,,B10275,,Passeriformes,Petroicidae,Petroica,goodenovii,,female,adult,Australia,"Mount Crozier, 2-3 miles west, Sunset Country",-34.9,141.65,,,1962,2017-02-16,mantle ,45,0,45,0,3,,
B10445BEL_Splice17_1,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,belly ,45,0,45,0,1,feathers have a silky appearance,
B10445BEL_Splice17_2,M,,Museums Victoria,,B10445,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2019-05-16,belly ,45,0,45,0,2,feathers have a silky appearance,
